,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.822,0.783,0.434,0.393,0.591,0.575,0.575,0.801,0.835,0.431,0.397,0.613,0.586,0.575,0.779,0.817,0.807,0.794,0.567,0.590
avg_max_ks_stat,0.05,50,0.232,0.226,0.172,0.169,0.176,0.177,0.174,0.227,0.231,0.171,0.167,0.179,0.176,0.177,0.228,0.230,0.227,0.227,0.176,0.176
avg_beta_T,0.05,50,0.004,0.019,-0.007,0.008,-0.008,0.009,,-0.019,0.030,0.013,-0.020,0.015,-0.031,-0.027,,,,,,
avg_abs_bias,0.05,50,0.721,0.724,0.609,0.611,0.580,0.490,,0.610,0.624,0.552,0.571,0.567,0.516,0.497,,,,,,
std_err_beta_T,0.05,50,0.899,0.911,0.757,0.779,0.730,0.609,,0.778,0.784,0.698,0.723,0.712,0.646,0.619,,,,,,
power,0.05,50,0.039,0.056,0.019,0.036,0.019,0.075,0.072,0.038,0.049,0.026,0.039,0.023,0.070,0.532,0.058,0.056,0.016,0.026,0.045,0.044
pct_trt_diff,0.05,50,0.055,0.013,0.015,0.006,0.031,0.031,0.030,0.056,0.013,0.015,0.006,0.032,0.032,0.031,0.055,0.012,0.015,0.007,0.030,0.033
res_end_prop_avg,0.05,50,,,,,0.312,0.316,0.315,,,,,0.313,0.314,0.313,,,,,0.315,0.313
ssqr_over_sum,0.05,50,,,,,,0.667,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,50,,,,,,0.045,,,,,,,,,,,,,,
match_corr,0.05,50,,,,,,0.451,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,50,,,,,,0.104,,,,,,,,,,,,,,
