"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"avg_max_std_diff_bal",0.05,50,0.817323332737288,0.809418057689822,0.437934252844871,0.386821253780354,0.593214612770458,0.558191046938021,0.588629240188269,0.823578847592644,0.7831780091102,0.438345239502453,0.388299273928159,0.607031030513067,0.594355446875572,0.573113284937242,0.810971756261506,0.796285984291843,0.813622250176102,0.78239139737442,0.589486364436367,0.582878457825218
"avg_max_ks_stat",0.05,50,0.232191831997537,0.228682912995162,0.172138149113367,0.165971538461538,0.176127836096331,0.175077459017832,0.176538532549086,0.231198057260219,0.225520689082508,0.172370205205423,0.167469743589744,0.177734253943055,0.17808144539121,0.174773890965758,0.229785722135418,0.225752836050895,0.230280796763623,0.227416923076923,0.176662159313405,0.177139726148047
"avg_beta_T",0.05,50,0.0386949138167707,0.000913756638455694,0.000133398067348208,0.0122672213277095,0.0106745109029078,0.00614767124018097,NA,0.0418781826591249,0.00215171413486267,0.00378563410522849,-0.0176095977022208,-0.00153135608894754,-0.0207539187384727,-0.0045544914687314,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.05,50,0.795293825929475,0.803579163905466,0.633331171968188,0.633518283929155,0.644322457347229,0.488916710991392,NA,0.585302334868412,0.610699135226155,0.570345652919801,0.563083405245329,0.541822990208133,0.495167888418027,0.505144865152862,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.05,50,1.0109761283838,1.00685685665475,0.78376418347044,0.797767918809969,0.807695094709046,0.616208760922014,NA,0.733715940000838,0.758404869592136,0.716392267271625,0.695429683851903,0.682630265897161,0.630214662351633,0.632441737606908,NA,NA,NA,NA,NA,NA
"power",0.05,50,0.046,0.045,0.013,0.016,0.015,0.076,0.0670670670670671,0.047,0.031,0.049,0.035,0.023,0.088,0.486,0.053,0.063,0.012,0.014,0.038,0.0512048192771084
"pct_trt_diff",0.05,50,0.05774,0.01324,0.01686,0.00636000000000001,0.0314,0.03106,0.03228,0.05424,0.01344,0.0161,0.00684000000000001,0.03102,0.03036,0.03052,0.05666,0.01354,0.01604,0.00574000000000001,0.03176,0.03094
"res_end_prop_avg",0.05,50,NA,NA,NA,NA,0.3128,0.31644,0.31384,NA,NA,NA,NA,0.31272,0.31268,0.31052,NA,NA,NA,NA,0.31656,0.31492
"ssqr_over_sum",0.05,50,NA,NA,NA,NA,NA,0.70719033753706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.05,50,NA,NA,NA,NA,NA,0.0249536827728062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
