"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"avg_max_std_diff_bal",0.05,50,0.797101676880329,0.819093375927959,0.42358815877208,0.393398407527563,0.591230227947751,0.584466442168564,0.575256104328982,0.808985215722126,0.848413462431795,0.416479779360994,0.395307781946316,0.582953208028493,0.601653770656214,0.599075828421455,0.807724862845024,0.794188217423587,0.803019281537455,0.788470048492765,0.58710162945855,0.569954119189395
"avg_max_ks_stat",0.05,50,0.227193173858254,0.229752547470735,0.170462162298249,0.165723076923077,0.177076617250877,0.178449475379876,0.176406939608984,0.232406814995483,0.234880658925102,0.169845237210455,0.167049594326768,0.175801106038606,0.176548587360219,0.177604273831683,0.231503483457577,0.224557173356183,0.225556013246013,0.226761794871795,0.175509278617995,0.175175425854296
"avg_beta_T",0.05,50,-0.022210599445213,-0.000988341513008455,-0.0390348265382579,-0.0364555249549262,0.0241247229957339,0.0359497699305812,NA,0.0162337590707082,0.0139556277514926,-0.039124357651597,0.0177169553890817,0.0214102198624246,0.00791590958990539,-0.0231171638924994,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.05,50,0.917921863575347,0.894853476555499,0.6438134332768,0.70555416451465,0.757869762832035,0.492179179218654,NA,0.661549979994564,0.646426426194861,0.589111526416253,0.609632410966995,0.563432649630755,0.4950538357004,0.517316078612103,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.05,50,1.15091280010223,1.11994869960062,0.812265421812071,0.890503993235331,0.942322839195312,0.614545779223551,NA,0.829185061977469,0.808963281572657,0.73704089746154,0.765844676068029,0.701547456538386,0.630390064924643,0.652634216048482,NA,NA,NA,NA,NA,NA
"power",0.05,50,0.058,0.045,0.002,0.009,0.016,0.069,0.0561122244488978,0.059,0.044,0.036,0.036,0.03,0.074,0.486,0.063,0.046,0.006,0.005,0.057,0.0521042084168337
"pct_trt_diff",0.05,50,0.0558,0.01348,0.01564,0.00606000000000001,0.03064,0.03108,0.03054,0.05476,0.01312,0.01524,0.00618000000000001,0.03156,0.03068,0.03094,0.05738,0.01362,0.01548,0.00630000000000001,0.03148,0.0325
"res_end_prop_avg",0.05,50,NA,NA,NA,NA,0.31352,0.31352,0.31328,NA,NA,NA,NA,0.31184,0.31476,0.31388,NA,NA,NA,NA,0.31468,0.31004
"ssqr_over_sum",0.05,50,NA,NA,NA,NA,NA,0.772899175233135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.05,50,NA,NA,NA,NA,NA,0.00449265544902806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"match_corr",0.05,50,NA,NA,NA,NA,NA,0.679367167965913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corr_eq_zero_pval",0.05,50,NA,NA,NA,NA,NA,0.0108716466458746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pct_only_matches",0.05,50,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_max_std_diff_bal",0.075,50,0.797101676880329,0.819093375927959,0.42358815877208,0.393398407527563,0.521363456020389,0.549489053183293,0.524673602935032,0.808985215722126,0.848413462431795,0.416479779360994,0.395307781946316,0.533042815095965,0.547741310499319,0.541073329679695,0.807724862845024,0.794188217423587,0.803019281537455,0.788470048492765,0.529350702187041,0.54295641579393
"avg_max_ks_stat",0.075,50,0.227193173858254,0.229752547470735,0.170462162298249,0.165723076923077,0.173531866127128,0.174994146567657,0.170244218199966,0.232406814995483,0.234880658925102,0.169845237210455,0.167049594326768,0.172775492073311,0.172126743642024,0.173609914422587,0.231503483457577,0.224557173356183,0.225556013246013,0.226761794871795,0.171111347830636,0.174061701148268
"avg_beta_T",0.075,50,-0.022210599445213,-0.000988341513008455,-0.0390348265382579,-0.0364555249549262,-0.0216255691462239,0.0315523707508312,NA,0.0162337590707082,0.0139556277514926,-0.039124357651597,0.0177169553890817,-0.0030633640015559,-0.00837571716446744,-0.0167654341437479,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.075,50,0.917921863575347,0.894853476555499,0.6438134332768,0.70555416451465,0.693854872799926,0.48348681175309,NA,0.661549979994564,0.646426426194861,0.589111526416253,0.609632410966995,0.563124488749958,0.503459303578274,0.504228297861243,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.075,50,1.15091280010223,1.11994869960062,0.812265421812071,0.890503993235331,0.868279166120306,0.60924282573275,NA,0.829185061977469,0.808963281572657,0.73704089746154,0.765844676068029,0.704508527212554,0.634492139670225,0.629714754309478,NA,NA,NA,NA,NA,NA
"power",0.075,50,0.058,0.045,0.002,0.009,0.01,0.062,0.0635897435897436,0.059,0.044,0.036,0.036,0.025,0.075,0.525,0.063,0.046,0.006,0.005,0.056,0.0528992878942014
"pct_trt_diff",0.075,50,0.0558,0.01348,0.01564,0.00606000000000001,0.02646,0.02616,0.0267,0.05476,0.01312,0.01524,0.00618000000000001,0.02602,0.02562,0.02734,0.05738,0.01362,0.01548,0.00630000000000001,0.02542,0.0275
"res_end_prop_avg",0.075,50,NA,NA,NA,NA,0.23744,0.23444,0.23596,NA,NA,NA,NA,0.23672,0.23636,0.23768,NA,NA,NA,NA,0.23576,0.23796
"ssqr_over_sum",0.075,50,NA,NA,NA,NA,NA,0.772101457561091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.075,50,NA,NA,NA,NA,NA,0.00701919528030035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"match_corr",0.075,50,NA,NA,NA,NA,NA,0.678201725969891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"corr_eq_zero_pval",0.075,50,NA,NA,NA,NA,NA,0.006612945214796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pct_only_matches",0.075,50,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"avg_max_std_diff_bal",0.1,50,0.797101676880329,0.819093375927959,0.42358815877208,0.393398407527563,0.495700187863587,0.51567939069166,0.487160168195504,0.808985215722126,0.848413462431795,0.416479779360994,0.395307781946316,0.510948997061134,0.48883010270615,0.497215407484227,0.807724862845024,0.794188217423587,0.803019281537455,0.788470048492765,0.514177941891504,0.516916320120354
"avg_max_ks_stat",0.1,50,0.227193173858254,0.229752547470735,0.170462162298249,0.165723076923077,0.169728248729448,0.171300087308161,0.168948721323931,0.232406814995483,0.234880658925102,0.169845237210455,0.167049594326768,0.172143812847642,0.170541235934303,0.17172630350742,0.231503483457577,0.224557173356183,0.225556013246013,0.226761794871795,0.17114084277605,0.170923621022489
"avg_beta_T",0.1,50,-0.022210599445213,-0.000988341513008455,-0.0390348265382579,-0.0364555249549262,0.0101236554716826,0.0295230399300106,NA,0.0162337590707082,0.0139556277514926,-0.039124357651597,0.0177169553890817,0.0243489936349111,-0.0126671202621149,0.0218358742195908,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.1,50,0.917921863575347,0.894853476555499,0.6438134332768,0.70555416451465,0.663372311484709,0.500432841288663,NA,0.661549979994564,0.646426426194861,0.589111526416253,0.609632410966995,0.541124394699969,0.498547234967498,0.498333180306583,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.1,50,1.15091280010223,1.11994869960062,0.812265421812071,0.890503993235331,0.846843103300519,0.657110889635071,NA,0.829185061977469,0.808963281572657,0.73704089746154,0.765844676068029,0.684747733737755,0.649841278947751,0.630668444983438,NA,NA,NA,NA,NA,NA
"power",0.1,50,0.058,0.045,0.002,0.009,0.012,0.087,0.0547210300429185,0.059,0.044,0.036,0.036,0.028,0.072,0.509,0.063,0.046,0.006,0.005,0.045,0.0479744136460554
