,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.855635067,0.842901715,0.430655556,0.394819055,0.577623392,0.578725477,0.60753642,0.787492087,0.807320724,0.433563012,0.392614361,0.584363065,0.579496205,0.592369976,0.833267991,0.778281174,0.802253286,0.79665798,0.557263266,0.576977372
avg_max_ks_stat,0.05,50,0.236304587,0.231600767,0.170988799,0.165298974,0.175391583,0.179095156,0.178323624,0.228943863,0.226185344,0.17001937,0.164702051,0.176343372,0.176588808,0.176440964,0.232137728,0.223505228,0.225207822,0.226512245,0.174741113,0.175175061
avg_beta_T,0.05,50,1.00516597,0.97221664,0.999599472,1.009681312,1.01018668,1.050718996,,1.021185266,0.999385833,1.000286894,1.015860089,1.001876881,1.003360862,0.96870961,,,,,,
avg_abs_bias,0.05,50,0.404785145,0.390368777,0.393632131,0.400091364,0.414522525,0.412098382,,0.419460621,0.397121551,0.404059166,0.406033662,0.401242269,0.426283122,0.461951574,,,,,,
std_err_beta_T,0.05,50,0.506523993,0.486535503,0.487208303,0.492178097,0.520818372,0.522495071,,0.531076612,0.497862476,0.501327001,0.516556856,0.510126249,0.5393587,0.584264248,,,,,,
power,0.05,50,0.523,0.479,0.516,0.513,0.506,0.589,0.514056225,0.499,0.497,0.507,0.529,0.504,0.506,0.341,0.523,0.515,0.538,0.543,0.527,0.477
pct_trt_diff,0.05,50,0.05558,0.01404,0.01652,0.00598,0.03154,0.03094,0.03102,0.05558,0.01304,0.01546,0.00654,0.03174,0.03014,0.0296,0.05532,0.01332,0.01634,0.00596,0.03186,0.03012
res_end_prop_avg,0.05,50,,,,,0.31452,0.31264,0.31412,,,,,0.3146,0.31188,0.31316,,,,,0.31548,0.31308
ssqr_over_sum,0.05,50,,,,,,0.344850101,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,50,,,,,,0.489400686,,,,,,,,,,,,,,
match_corr,0.05,50,,,,,,0.000896149,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,50,,,,,,0.500932647,,,,,,,,,,,,,,
pct_only_matches,0.05,50,,,,,,0.003,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,50,0.855635067,0.842901715,0.430655556,0.394819055,0.525432966,0.531515151,0.52783787,0.787492087,0.807320724,0.433563012,0.392614361,0.558603759,0.533431704,0.52793771,0.833267991,0.778281174,0.802253286,0.79665798,0.530054686,0.536967025
avg_max_ks_stat,0.075,50,0.236304587,0.231600767,0.170988799,0.165298974,0.171432634,0.173883396,0.172502642,0.228943863,0.226185344,0.17001937,0.164702051,0.174234765,0.17010605,0.17332492,0.232137728,0.223505228,0.225207822,0.226512245,0.171992932,0.171323876
avg_beta_T,0.075,50,1.00516597,0.97221664,0.999599472,1.009681312,0.992678947,1.002917451,,1.021185266,0.999385833,1.000286894,1.015860089,0.985623117,0.989163176,1.025332947,,,,,,
avg_abs_bias,0.075,50,0.404785145,0.390368777,0.393632131,0.400091364,0.39464574,0.401524892,,0.419460621,0.397121551,0.404059166,0.406033662,0.397921787,0.442736457,0.444527448,,,,,,
std_err_beta_T,0.075,50,0.506523993,0.486535503,0.487208303,0.492178097,0.496041146,0.509369,,0.531076612,0.497862476,0.501327001,0.516556856,0.506557532,0.568666493,0.557990036,,,,,,
power,0.075,50,0.523,0.479,0.516,0.513,0.491,0.553,0.533950617,0.499,0.497,0.507,0.529,0.498,0.509,0.406,0.523,0.515,0.538,0.543,0.512,0.481025641
pct_trt_diff,0.075,50,0.05558,0.01404,0.01652,0.00598,0.02638,0.0267,0.02772,0.05558,0.01304,0.01546,0.00654,0.02548,0.02608,0.02688,0.05532,0.01332,0.01634,0.00596,0.02654,0.02852
res_end_prop_avg,0.075,50,,,,,0.23524,0.23504,0.23724,,,,,0.23532,0.23528,0.23552,,,,,0.23532,0.2392
ssqr_over_sum,0.075,50,,,,,,0.327797153,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,50,,,,,,0.51511097,,,,,,,,,,,,,,
match_corr,0.075,50,,,,,,0.013885082,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,50,,,,,,0.483147615,,,,,,,,,,,,,,
pct_only_matches,0.075,50,,,,,,0.019,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,50,0.855635067,0.842901715,0.430655556,0.394819055,0.489310588,0.540902297,0.524925819,0.787492087,0.807320724,0.433563012,0.392614361,0.517195962,0.524806323,0.520394846,0.833267991,0.778281174,0.802253286,0.79665798,0.486945493,0.505627733
avg_max_ks_stat,0.1,50,0.236304587,0.231600767,0.170988799,0.165298974,0.17034275,0.172779703,0.172457006,0.228943863,0.226185344,0.17001937,0.164702051,0.171557493,0.174483692,0.173608707,0.232137728,0.223505228,0.225207822,0.226512245,0.169435253,0.171199204
avg_beta_T,0.1,50,1.00516597,0.97221664,0.999599472,1.009681312,1.000788675,0.995238029,,1.021185266,0.999385833,1.000286894,1.015860089,1.004031276,1.013475548,1.008952189,,,,,,
avg_abs_bias,0.1,50,0.404785145,0.390368777,0.393632131,0.400091364,0.386449323,0.408187538,,0.419460621,0.397121551,0.404059166,0.406033662,0.40504671,0.442546285,0.430614201,,,,,,
