"","alpha","n","van_bau","efron_bau","strat_bau","ps_min_bau","pm_bau","pm_kk","pm_kk_pbs","van_linear","efron_lin","strat_lin","ps_min_lin","pm_lin","pm_lin_kk","pm_lin_kk_pbs","van_exact","efron_exact","strat_exact","ps_min_exact","pm_exact","pm_kk_exact"
"avg_max_std_diff_bal",0.05,50,0.816613793090357,0.824691112116223,0.398381285701727,0.384900701269466,0.582403437495126,0.56801021043964,0.594638843754118,0.819972339004751,0.820527938401828,0.41254334728763,0.399270912641817,0.584385140557955,0.563235749435073,0.577555793868102,0.82052097766974,0.808070304557219,0.803378538882932,0.805036378645852,0.585242931600828,0.577175677297048
"avg_max_ks_stat",0.05,50,0.234672705102983,0.229526777096245,0.169574569946961,0.165685629877369,0.175055943384018,0.174292487898822,0.178897698434914,0.230976823066011,0.230361748657251,0.169024782954566,0.165480128205128,0.176703608565676,0.174143157515349,0.17743455518191,0.231951414260348,0.22961316171506,0.227764477639912,0.228351336553945,0.175600152479727,0.176980900880208
"avg_beta_T",0.05,50,1.00140970982512,1.02036601866907,0.989006523629845,0.971033417336181,1.0376730793566,1.00520902923704,NA,1.01105398869381,0.995617223414655,0.997549699887143,0.97941712712202,0.962546217679356,0.996277402132787,0.979726196819509,NA,NA,NA,NA,NA,NA
"avg_abs_bias",0.05,50,0.590156510817924,0.606443193284025,0.465161860496697,0.451808703326301,0.528973449030871,0.453028807808614,NA,0.39494117707601,0.399857581500087,0.376780031362635,0.38807859823115,0.398832037159553,0.430948605324332,0.466739709946645,NA,NA,NA,NA,NA,NA
"std_err_beta_T",0.05,50,0.742409210560647,0.747940513764757,0.580000271621494,0.565564886761786,0.655307735376888,0.577743602434758,NA,0.491855319586917,0.501332099016158,0.474480215080508,0.479466492722102,0.501282384341414,0.539778585693084,0.594812749174779,NA,NA,NA,NA,NA,NA
"power",0.05,50,0.246,0.265,0.188,0.184,0.259,0.453,0.43186372745491,0.482,0.496,0.497,0.493,0.477,0.505,0.33,0.258,0.236,0.201,0.201,0.345,0.379759519038076
"pct_trt_diff",0.05,50,0.05552,0.01404,0.01468,0.00626000000000001,0.03226,0.03074,0.03196,0.05522,0.01306,0.01574,0.00614000000000001,0.0316,0.03066,0.03078,0.05508,0.01346,0.01534,0.00616000000000001,0.03178,0.03092
"res_end_prop_avg",0.05,50,NA,NA,NA,NA,0.31372,0.31224,0.31132,NA,NA,NA,NA,0.31696,0.31336,0.31152,NA,NA,NA,NA,0.31408,0.31392
"ssqr_over_sum",0.05,50,NA,NA,NA,NA,NA,0.599849653777113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ssqr_eq_ssqd_pval",0.05,50,NA,NA,NA,NA,NA,0.0664884701982082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
