,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.808206459,0.83133468,0.421694385,0.398914527,0.591695948,0.589893699,0.571409283,0.799683186,0.816903437,0.417152779,0.39818174,0.577206855,0.573417359,0.574111164,0.818332366,0.816997228,0.83680204,0.836933784,0.601070048,0.598947871
avg_max_ks_stat,0.05,50,0.23058297,0.230016956,0.170171966,0.165703333,0.175577479,0.176753791,0.174685614,0.230885712,0.229903964,0.168969104,0.165053462,0.175660077,0.176642193,0.174877924,0.233867999,0.229216286,0.230351395,0.228359582,0.177678147,0.178085521
avg_beta_T,0.05,50,0.97365709,0.961647413,0.986836189,1.018045104,0.998645441,1.002335174,,1.010861765,1.004623381,0.984927325,1.009350662,0.99490895,1.005721394,1.004964437,,,,,,
avg_abs_bias,0.05,50,0.800370484,0.771572532,0.650172588,0.628691885,0.672265637,0.484087477,,0.613214719,0.606549995,0.545086511,0.545710587,0.541406198,0.500941378,0.518347788,,,,,,
std_err_beta_T,0.05,50,1.010163114,0.977736128,0.801714027,0.78464578,0.825224863,0.604721265,,0.782364018,0.759417699,0.681848292,0.682976013,0.686734041,0.635477376,0.639711163,,,,,,
power,0.05,50,0.162,0.168,0.121,0.126,0.148,0.421,0.434869739,0.249,0.265,0.252,0.253,0.243,0.408,0.345,0.179,0.192,0.124,0.119,0.238,0.35879397
pct_trt_diff,0.05,50,0.0553,0.01402,0.01634,0.00582,0.0309,0.0307,0.03154,0.05732,0.01358,0.0155,0.00592,0.03198,0.03032,0.0306,0.05458,0.01284,0.016,0.00574,0.02972,0.03106
res_end_prop_avg,0.05,50,,,,,0.31356,0.31332,0.31176,,,,,0.31676,0.31416,0.31356,,,,,0.31504,0.31188
ssqr_over_sum,0.05,50,,,,,,0.704235309,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,50,,,,,,0.022221758,,,,,,,,,,,,,,
match_corr,0.05,50,,,,,,0.579932985,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,50,,,,,,0.037526983,,,,,,,,,,,,,,
pct_only_matches,0.05,50,,,,,,0.002,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,50,0.808206459,0.83133468,0.421694385,0.398914527,0.520768582,0.511487311,0.521444782,0.799683186,0.816903437,0.417152779,0.39818174,0.529177297,0.539324795,0.538228421,0.818332366,0.816997228,0.83680204,0.836933784,0.552652989,0.543397789
avg_max_ks_stat,0.075,50,0.23058297,0.230016956,0.170171966,0.165703333,0.171454142,0.169812936,0.170051705,0.230885712,0.229903964,0.168969104,0.165053462,0.172527899,0.172097172,0.171864451,0.233867999,0.229216286,0.230351395,0.228359582,0.171988086,0.173739109
avg_beta_T,0.075,50,0.97365709,0.961647413,0.986836189,1.018045104,1.006629716,0.988424427,,1.010861765,1.004623381,0.984927325,1.009350662,1.004157093,1.02750444,0.990817071,,,,,,
avg_abs_bias,0.075,50,0.800370484,0.771572532,0.650172588,0.628691885,0.624422358,0.462879548,,0.613214719,0.606549995,0.545086511,0.545710587,0.514763847,0.487857867,0.483694005,,,,,,
std_err_beta_T,0.075,50,1.010163114,0.977736128,0.801714027,0.78464578,0.794525989,0.583116054,,0.782364018,0.759417699,0.681848292,0.682976013,0.638722934,0.617902486,0.605920599,,,,,,
power,0.075,50,0.162,0.168,0.121,0.126,0.114,0.428,0.386199794,0.249,0.265,0.252,0.253,0.232,0.438,0.347,0.179,0.192,0.124,0.119,0.252,0.327568667
pct_trt_diff,0.075,50,0.0553,0.01402,0.01634,0.00582,0.02702,0.02726,0.02816,0.05732,0.01358,0.0155,0.00592,0.02594,0.0255,0.02672,0.05458,0.01284,0.016,0.00574,0.02602,0.0257
res_end_prop_avg,0.075,50,,,,,0.2374,0.23644,0.2372,,,,,0.2346,0.23704,0.2352,,,,,0.23644,0.23688
ssqr_over_sum,0.075,50,,,,,,0.711783633,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,50,,,,,,0.026009404,,,,,,,,,,,,,,
match_corr,0.075,50,,,,,,0.598180875,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,50,,,,,,0.023521515,,,,,,,,,,,,,,
pct_only_matches,0.075,50,,,,,,0.028,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,50,0.808206459,0.83133468,0.421694385,0.398914527,0.505105212,0.488426245,0.513839176,0.799683186,0.816903437,0.417152779,0.39818174,0.505887404,0.51974846,0.52177471,0.818332366,0.816997228,0.83680204,0.836933784,0.512106026,0.493669121
