,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
avg_max_std_diff_bal,0.05,50,0.801500701,0.81568001,0.405173059,0.379788738,0.563389844,0.581361569,0.579526721,0.794194255,0.800256241,0.418434246,0.410743629,0.582832523,0.551977079,,0.797865715,0.779999712,0.761972733,0.833647033,0.584885647,0.564953041
avg_max_ks_stat,0.05,50,0.230042334,0.230033727,0.169343438,0.167290129,0.175459654,0.177155422,0.175015638,0.230087415,0.227355891,0.171289241,0.165669615,0.174349195,0.171105988,,0.228704098,0.225796796,0.225566876,0.23114928,0.173351617,0.17853627
avg_beta_T,0.05,50,0.966338308,0.95291382,0.974949771,0.994472946,1.009386107,1.000347794,,0.986000119,1.042445645,1.03189645,0.981771358,1.004178438,0.978179793,,,,,,,
avg_abs_bias,0.05,50,0.89415293,0.884763906,0.648951191,0.657015223,0.699208281,0.501068863,,0.645258747,0.628580316,0.567922812,0.594040463,0.563477784,0.499587346,,,,,,,
std_err_beta_T,0.05,50,1.121745554,1.09397721,0.823992972,0.840205119,0.88420645,0.635548757,,0.815694067,0.79284298,0.715926309,0.740062669,0.702791939,0.628751247,,,,,,,
power,0.05,50,0.134,0.138,0.059,0.077,0.086,0.397,0.407815631,0.225,0.263,0.239,0.236,0.234,0.412,,0.154,0.162,0.064,0.066,0.195,0.323971916
pct_trt_diff,0.05,50,0.05546,0.01396,0.01494,0.0059,0.032,0.032,0.03124,0.05588,0.01348,0.0164,0.00622,0.0302,0.03,,0.05556,0.01358,0.01462,0.00604,0.02968,0.03174
res_end_prop_avg,0.05,50,,,,,0.31256,0.31456,0.31192,,,,,0.3072,0.3106,,,,,,0.31212,0.31592
ssqr_over_sum,0.05,50,,,,,,0.771076771,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,50,,,,,,0.004271698,,,,,,,,,,,,,,
match_corr,0.05,50,,,,,,0.680054463,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,50,,,,,,0.00920379,,,,,,,,,,,,,,
pct_only_matches,0.05,50,,,,,,0.009,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,50,0.801500701,0.81568001,0.405173059,0.379788738,0.504492582,0.532139059,0.551498458,0.794194255,0.800256241,0.418434246,0.410743629,0.514625391,0.536726105,,0.797865715,0.779999712,0.761972733,0.833647033,0.526035672,0.538693146
avg_max_ks_stat,0.075,50,0.230042334,0.230033727,0.169343438,0.167290129,0.16955807,0.170523574,0.175062961,0.230087415,0.227355891,0.171289241,0.165669615,0.171193518,0.173124315,,0.228704098,0.225796796,0.225566876,0.23114928,0.17102938,0.172687665
avg_beta_T,0.075,50,0.966338308,0.95291382,0.974949771,0.994472946,0.961331068,0.95207086,,0.986000119,1.042445645,1.03189645,0.981771358,0.990554495,0.995831854,,,,,,,
avg_abs_bias,0.075,50,0.89415293,0.884763906,0.648951191,0.657015223,0.6720076,0.497073019,,0.645258747,0.628580316,0.567922812,0.594040463,0.546903355,0.50541548,,,,,,,
std_err_beta_T,0.075,50,1.121745554,1.09397721,0.823992972,0.840205119,0.845308168,0.606246378,,0.815694067,0.79284298,0.715926309,0.740062669,0.685475376,0.637503194,,,,,,,
power,0.075,50,0.134,0.138,0.059,0.077,0.066,0.383,0.375886525,0.225,0.263,0.239,0.236,0.214,0.409,,0.154,0.162,0.064,0.066,0.174,0.343268243
pct_trt_diff,0.075,50,0.05546,0.01396,0.01494,0.0059,0.02634,0.02628,0.02632,0.05588,0.01348,0.0164,0.00622,0.02574,0.02738,,0.05556,0.01358,0.01462,0.00604,0.02588,0.02668
res_end_prop_avg,0.075,50,,,,,0.23472,0.23592,0.24048,,,,,0.23616,0.23708,,,,,,0.23764,0.23792
ssqr_over_sum,0.075,50,,,,,,0.769869412,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,50,,,,,,0.00668588,,,,,,,,,,,,,,
match_corr,0.075,50,,,,,,0.67967601,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,50,,,,,,0.006667256,,,,,,,,,,,,,,
pct_only_matches,0.075,50,,,,,,0.019,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,50,0.801500701,0.81568001,0.405173059,0.379788738,0.523416529,0.516098522,0.501070719,0.794194255,0.800256241,0.418434246,0.410743629,0.486054161,0.517061964,,0.797865715,0.779999712,0.761972733,0.833647033,0.511587919,0.522714954
avg_max_ks_stat,0.1,50,0.230042334,0.230033727,0.169343438,0.167290129,0.172733573,0.172676727,0.169118215,0.230087415,0.227355891,0.171289241,0.165669615,0.170964119,0.171680672,,0.228704098,0.225796796,0.225566876,0.23114928,0.171039216,0.170942359
avg_beta_T,0.1,50,0.966338308,0.95291382,0.974949771,0.994472946,1.008693515,0.990923316,,0.986000119,1.042445645,1.03189645,0.981771358,0.997318656,1.022750767,,,,,,,
avg_abs_bias,0.1,50,0.89415293,0.884763906,0.648951191,0.657015223,0.708232199,0.49545762,,0.645258747,0.628580316,0.567922812,0.594040463,0.518092015,0.480039251,,,,,,,
std_err_beta_T,0.1,50,1.121745554,1.09397721,0.823992972,0.840205119,0.873788487,0.620934628,,0.815694067,0.79284298,0.715926309,0.740062669,0.645918098,0.628519448,,,,,,,
power,0.1,50,0.134,0.138,0.059,0.077,0.086,0.388,0.400212314,0.225,0.263,0.239,0.236,0.194,0.394,,0.154,0.162,0.064,0.066,0.213,0.344790548
pct_trt_diff,0.1,50,0.05546,0.01396,0.01494,0.0059,0.02374,0.0235,0.02378,0.05588,0.01348,0.0164,0.00622,0.02406,0.0239,,0.05556,0.01358,0.01462,0.00604,0.02304,0.02338
res_end_prop_avg,0.1,50,,,,,0.19156,0.18844,0.19152,,,,,0.18812,0.19108,,,,,,0.19088,0.19236
ssqr_over_sum,0.1,50,,,,,,0.760891435,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,50,,,,,,0.015321399,,,,,,,,,,,,,,
match_corr,0.1,50,,,,,,0.677827563,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,50,,,,,,0.005467904,,,,,,,,,,,,,,
pct_only_matches,0.1,50,,,,,,0.065,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,50,0.801500701,0.81568001,0.405173059,0.379788738,0.454510411,0.450337788,0.454711413,0.794194255,0.800256241,0.418434246,0.410743629,0.475422697,0.43974655,,0.797865715,0.779999712,0.761972733,0.833647033,0.455352104,0.454728162
avg_max_ks_stat,0.2,50,0.230042334,0.230033727,0.169343438,0.167290129,0.175499771,0.177051992,0.174767363,0.230087415,0.227355891,0.171289241,0.165669615,0.176180372,0.1733061,,0.228704098,0.225796796,0.225566876,0.23114928,0.174369383,0.174081294
avg_beta_T,0.2,50,0.966338308,0.95291382,0.974949771,0.994472946,1.035077363,1.029470554,,0.986000119,1.042445645,1.03189645,0.981771358,0.988879666,0.997398482,,,,,,,
avg_abs_bias,0.2,50,0.89415293,0.884763906,0.648951191,0.657015223,0.649967164,0.533982059,,0.645258747,0.628580316,0.567922812,0.594040463,0.532927705,0.500770831,,,,,,,
std_err_beta_T,0.2,50,1.121745554,1.09397721,0.823992972,0.840205119,0.821947284,0.689948799,,0.815694067,0.79284298,0.715926309,0.740062669,0.669335294,0.6422245,,,,,,,
